game,T1,T2
1,1,2
2,1,3
3,1,4
4,1,13
5,1,14
6,1,15
7,1,16
8,1,25
9,1,26
10,1,27
11,1,28
12,1,11
13,2,1
14,2,3
15,2,4
16,2,13
17,2,14
18,2,15
19,2,16
20,2,25
21,2,26
22,2,27
23,2,28
24,2,10
25,3,1
26,3,2
27,3,4
28,3,13
29,3,14
30,3,15
31,3,16
32,3,25
33,3,26
34,3,27
35,3,28
36,3,6
37,4,1
38,4,2
39,4,3
40,4,13
41,4,14
42,4,15
43,4,16
44,4,25
45,4,26
46,4,27
47,4,28
48,4,12
49,5,6
50,5,7
51,5,8
52,5,17
53,5,18
54,5,19
55,5,20
56,5,1
57,6,5
58,6,7
59,6,8
60,6,17
61,6,18
62,6,19
63,6,20
64,6,14
65,7,5
66,7,6
67,7,8
68,7,17
69,7,18
70,7,19
71,7,20
72,7,2
73,8,5
74,8,6
75,8,7
76,8,17
77,8,18
78,8,19
79,8,20
80,8,4
81,9,10
82,9,11
83,9,12
84,9,5
85,9,6
86,9,7
87,9,8
88,9,3
89,10,9
90,10,11
91,10,12
92,10,5
93,10,6
94,10,7
95,10,8
96,10,15
97,11,9
98,11,10
99,11,12
100,11,5
101,11,6
102,11,7
103,11,8
104,11,13
105,12,9
106,12,10
107,12,11
108,12,5
109,12,6
110,12,7
111,12,8
112,12,16
113,13,14
114,13,15
115,13,16
116,13,21
117,13,22
118,13,23
119,13,24
120,13,5
121,14,13
122,14,15
123,14,16
124,14,21
125,14,22
126,14,23
127,14,24
128,14,9
129,15,13
130,15,14
131,15,16
132,15,21
133,15,22
134,15,23
135,15,24
136,15,7
137,16,13
138,16,14
139,16,15
140,16,21
141,16,22
142,16,23
143,16,24
144,16,8
145,17,18
146,17,19
147,17,20
148,17,29
149,17,30
150,17,31
151,17,32
152,17,25
153,18,17
154,18,19
155,18,20
156,18,29
157,18,30
158,18,31
159,18,32
160,18,21
161,19,17
162,19,18
163,19,20
164,19,29
165,19,30
166,19,31
167,19,32
168,19,23
169,20,17
170,20,18
171,20,19
172,20,29
173,20,30
174,20,31
175,20,32
176,20,24
177,21,22
178,21,23
179,21,24
180,21,29
181,22,21
182,22,23
183,22,24
184,22,17
185,23,21
186,23,22
187,23,24
188,23,30
189,24,21
190,24,22
191,24,23
192,24,32
193,25,26
194,25,27
195,25,28
196,25,21
197,25,22
198,25,23
199,25,24
200,25,31
201,26,25
202,26,27
203,26,28
204,26,21
205,26,22
206,26,23
207,26,24
208,26,19
209,27,25
210,27,26
211,27,28
212,27,21
213,27,22
214,27,23
215,27,24
216,27,18
217,28,25
218,28,26
219,28,27
220,28,21
221,28,22
222,28,23
223,28,24
224,28,20
225,29,30
226,29,31
227,29,32
228,29,9
229,29,10
230,29,11
231,29,12
232,29,27
233,30,29
234,30,31
235,30,32
236,30,9
237,30,10
238,30,11
239,30,12
240,30,26
241,31,29
242,31,30
243,31,32
244,31,9
245,31,10
246,31,11
247,31,12
248,31,22
249,32,29
250,32,30
251,32,31
252,32,9
253,32,10
254,32,11
255,32,12
256,32,28
