Games,Team_1,Team_2
1,BAL,CIN
2,BAL,CLE
3,BAL,PIT
4,BAL,DEN
5,BAL,KC
6,BAL,OAK
7,BAL,SD
8,BAL,DAL
9,BAL,NYG
10,BAL,PHI
11,BAL,WAS
12,BAL,NE
13,CIN,BAL
14,CIN,CLE
15,CIN,PIT
16,CIN,DEN
17,CIN,KC
18,CIN,OAK
19,CIN,SD
20,CIN,DAL
21,CIN,NYG
22,CIN,PHI
23,CIN,WAS
24,CIN,MIA
25,CLE,BAL
26,CLE,CIN
27,CLE,PIT
28,CLE,DEN
29,CLE,KC
30,CLE,OAK
31,CLE,SD
32,CLE,DAL
33,CLE,NYG
34,CLE,PHI
35,CLE,WAS
36,CLE,IND
37,PIT,BAL
38,PIT,CIN
39,PIT,CLE
40,PIT,DEN
41,PIT,KC
42,PIT,OAK
43,PIT,SD
44,PIT,DAL
45,PIT,NYG
46,PIT,PHI
47,PIT,WAS
48,PIT,NYJ
49,HOU,IND
50,HOU,JAX
51,HOU,TEN
52,HOU,CHI
53,HOU,DET
54,HOU,GB
55,HOU,MIN
56,HOU,BAL
57,IND,HOU
58,IND,JAX
59,IND,TEN
60,IND,CHI
61,IND,DET
62,IND,GB
63,IND,MIN
64,IND,KC
65,JAX,HOU
66,JAX,IND
67,JAX,TEN
68,JAX,CHI
69,JAX,DET
70,JAX,GB
71,JAX,MIN
72,JAX,CIN
73,TEN,HOU
74,TEN,IND
75,TEN,JAX
76,TEN,CHI
77,TEN,DET
78,TEN,GB
79,TEN,MIN
80,TEN,PIT
81,BUF,MIA
82,BUF,NE
83,BUF,NYJ
84,BUF,HOU
85,BUF,IND
86,BUF,JAX
87,BUF,TEN
88,BUF,CLE
89,MIA,BUF
90,MIA,NE
91,MIA,NYJ
92,MIA,HOU
93,MIA,IND
94,MIA,JAX
95,MIA,TEN
96,MIA,OAK
97,NE,BUF
98,NE,MIA
99,NE,NYJ
100,NE,HOU
101,NE,IND
102,NE,JAX
103,NE,TEN
104,NE,DEN
105,NYJ,BUF
106,NYJ,MIA
107,NYJ,NE
108,NYJ,HOU
109,NYJ,IND
110,NYJ,JAX
111,NYJ,TEN
112,NYJ,SD
113,DEN,KC
114,DEN,OAK
115,DEN,SD
116,DEN,ATL
117,DEN,CAR
118,DEN,NO
119,DEN,TB
120,DEN,HOU
121,KC,DEN
122,KC,OAK
123,KC,SD
124,KC,ATL
125,KC,CAR
126,KC,NO
127,KC,TB
128,KC,BUF
129,OAK,DEN
130,OAK,KC
131,OAK,SD
132,OAK,ATL
133,OAK,CAR
134,OAK,NO
135,OAK,TB
136,OAK,JAX
137,SD,DEN
138,SD,KC
139,SD,OAK
140,SD,ATL
141,SD,CAR
142,SD,NO
143,SD,TB
144,SD,TEN
145,CHI,DET
146,CHI,GB
147,CHI,MIN
148,CHI,ARI
149,CHI,SF
150,CHI,SEA
151,CHI,STL
152,CHI,DAL
153,DET,CHI
154,DET,GB
155,DET,MIN
156,DET,ARI
157,DET,SF
158,DET,SEA
159,DET,STL
160,DET,ATL
161,GB,CHI
162,GB,DET
163,GB,MIN
164,GB,ARI
165,GB,SF
166,GB,SEA
167,GB,STL
168,GB,NO
169,MIN,CHI
170,MIN,DET
171,MIN,GB
172,MIN,ARI
173,MIN,SF
174,MIN,SEA
175,MIN,STL
176,MIN,TB
177,ATL,CAR
178,ATL,NO
179,ATL,TB
180,ATL,ARI
181,CAR,ATL
182,CAR,NO
183,CAR,TB
184,CAR,CHI
185,NO,ATL
186,NO,CAR
187,NO,TB
188,NO,SF
189,TB,ATL
190,TB,CAR
191,TB,NO
192,TB,STL
193,DAL,NYG
194,DAL,PHI
195,DAL,WAS
196,DAL,ATL
197,DAL,CAR
198,DAL,NO
199,DAL,TB
200,DAL,SEA
201,NYG,DAL
202,NYG,PHI
203,NYG,WAS
204,NYG,ATL
205,NYG,CAR
206,NYG,NO
207,NYG,TB
208,NYG,GB
209,PHI,DAL
210,PHI,NYG
211,PHI,WAS
212,PHI,ATL
213,PHI,CAR
214,PHI,NO
215,PHI,TB
216,PHI,DET
217,WAS,DAL
218,WAS,NYG
219,WAS,PHI
220,WAS,ATL
221,WAS,CAR
222,WAS,NO
223,WAS,TB
224,WAS,MIN
225,ARI,SF
226,ARI,SEA
227,ARI,STL
228,ARI,BUF
229,ARI,MIA
230,ARI,NE
231,ARI,NYJ
232,ARI,PHI
233,SF,ARI
234,SF,SEA
235,SF,STL
236,SF,BUF
237,SF,MIA
238,SF,NE
239,SF,NYJ
240,SF,NYG
241,SEA,ARI
242,SEA,SF
243,SEA,STL
244,SEA,BUF
245,SEA,MIA
246,SEA,NE
247,SEA,NYJ
248,SEA,CAR
249,STL,ARI
250,STL,SF
251,STL,SEA
252,STL,BUF
253,STL,MIA
254,STL,NE
255,STL,NYJ
256,STL,WAS
257,BAL,Bye
258,CIN,Bye
259,CLE,Bye
260,PIT,Bye
261,HOU,Bye
262,IND,Bye
263,JAX,Bye
264,TEN,Bye
265,BUF,Bye
266,MIA,Bye
267,NE,Bye
268,NYJ,Bye
269,DEN,Bye
270,KC,Bye
271,OAK,Bye
272,SD,Bye
273,CHI,Bye
274,DET,Bye
275,GB,Bye
276,MIN,Bye
277,ATL,Bye
278,CAR,Bye
279,NO,Bye
280,TB,Bye
281,DAL,Bye
282,NYG,Bye
283,PHI,Bye
284,WAS,Bye
285,ARI,Bye
286,SF,Bye
287,SEA,Bye
288,STL,Bye
